location_id,date,crack_area_percent,growth_rate,texture_variance,color_degradation,change_score
LOC_001,2023-01-01,0.14190673828125,0.0,0.0014170538634061813,0.00070953369140625,0.0
LOC_001,2023-02-01,0.145721435546875,0.02688172087073326,0.0014550912892445922,0.000728607177734375,7.62939453125e-05
LOC_001,2023-03-01,0.146484375,0.005235602147877216,0.001462697982788086,0.000732421875,0.00011444091796875
LOC_000,2023-01-01,0.1514434814453125,0.0,0.0015121407341212034,0.0007572174072265625,0.0
LOC_000,2023-02-01,0.150299072265625,-0.007556675001978874,0.0015007320325821638,0.000751495361328125,7.2479248046875e-05
LOC_000,2023-03-01,0.153350830078125,0.020304568111896515,0.001531156012788415,0.000766754150390625,9.1552734375e-05
LOC_002,2023-01-01,0.141143798828125,0.0,0.0014094453072175384,0.000705718994140625,0.0
LOC_002,2023-02-01,0.146484375,0.037837836891412735,0.001462697982788086,0.000732421875,7.62939453125e-05
LOC_002,2023-03-01,0.1468658447265625,0.0026041667442768812,0.001466501271352172,0.0007343292236328125,0.000133514404296875
LOC_004,2023-01-01,0.1369476318359375,0.0,0.001367600285448134,0.0006847381591796875,0.0
LOC_004,2023-02-01,0.140380859375,0.02506963722407818,0.0014018379151821136,0.000701904296875,3.4332275390625e-05
LOC_004,2023-03-01,0.1434326171875,0.021739130839705467,0.0014322693459689617,0.0007171630859375,9.918212890625e-05
LOC_003,2023-01-01,0.1384735107421875,0.0,0.0013828175142407417,0.0006923675537109375,0.0
LOC_003,2023-02-01,0.1422882080078125,0.027548208832740784,0.0014208576176315546,0.0007114410400390625,6.866455078125e-05
LOC_003,2023-03-01,0.1438140869140625,0.010723860934376717,0.001436073100194335,0.0007190704345703125,0.0001220703125
